"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15726","@Web Browser Context-Validating Error login","","2026-03-13","passed","2026-03-13","","UIBasicstest.spec.js","",""
"","13749","@Web Popup validations","","2026-03-13","passed","2026-03-13","","MoreValidations.spec.js","",""
"","13834","@Web Client App login for ZARA COAT 3","","2026-03-13","passed","2026-03-13","","ClientAppPO.spec.js","",""
"","13500","@Webst Client App login","","2026-03-13","passed","2026-03-13","","ClientAppOtherWay.spec.js","",""
